Name;Position;Duration;Poolaeg;Põhimoment;Tsoon1;Tsoon2;Tsoon3;Opening;Pressing;Outcome;Result;Shot2;Standard last/4;Field Position
 DD STAN_KICKOFF POS WINOPENSTAN;0;18883;2.;DD;;;;;;POS;WINOPENSTAN;;STAN_KICKOFF;
 AA THROWIN_OPEN POS KEEPPOS;14552;14273;2.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S1 S2 MIDPRESS NEG -;18089;35361;2.;AA;S1;S2;;;MIDPRESS;NEG;-;;;
 AD S2 POS -;34544;34222;2.;AD;S2;;;;;POS;-;;;M2/2
 DD S1 HIGHPRESS POS -;63101;15208;2.;DD;S1;;;;HIGHPRESS;POS;-;;;
 DD THROWIN_OPEN POS WINOPENSTAN;89561;12939;2.;DD;;;;THROWIN_OPEN;;POS;WINOPENSTAN;;;
 AA THROWIN_OPEN NEG -;98636;17343;2.;AA;;;;THROWIN_OPEN;;NEG;-;;;
 AD S2 S3 NEG ENTRY;100410;30018;2.;AD;S2;S3;;;;NEG;ENTRY;;;M2/2
 DD S2 MIDPRESS POS -;124896;20546;2.;DD;S2;;;;MIDPRESS;POS;-;;;
 DD FK_OPEN NEG -;139511;15074;2.;DD;;;;FK_OPEN;;NEG;-;;;
 DD S2 MIDPRESS POS -;144115;37230;2.;DD;S2;;;;MIDPRESS;POS;-;;;
 DA S2 NEG -;159269;30151;2.;DA;S2;;;;;NEG;-;;;R2/1
 AD S2 S3 NEG SHOTGOAL;177420;52040;2.;AD;S2;S3;;;;NEG;SHOTGOAL;;;M2/2
 AA STAN_KICKOFF POS KEEPPOS;236774;16676;2.;AA;;;;;;POS;KEEPPOS;;STAN_KICKOFF;
 AA S1 S2 S3 MIDPRESS POS SHOTOFF;246451;24517;2.;AA;S1;S2;S3;;MIDPRESS;POS;SHOTOFF;;;
 DD GK_OPENSHORT POS WINOPENSTAN;282020;43636;2.;DD;;;;GK_OPENSHORT;;POS;WINOPENSTAN;;;
 AA FK_OPEN POS KEEPPOS;327031;19012;2.;AA;;;;FK_OPEN;;POS;KEEPPOS;;;
 AA S1 S2 MIDPRESS NEG -;328900;31090;2.;AA;S1;S2;;;MIDPRESS;NEG;-;;;
 AD S2 POS KEEPPOS;344954;31419;2.;AD;S2;;;;;POS;KEEPPOS;;;L2/2
 AA S1 S2 GK_SHORT MIDPRESS NEG -;375947;48808;2.;AA;S1;S2;;GK_SHORT;MIDPRESS;NEG;-;;;
 AD S2 POS KEEPPOS;407884;28416;2.;AD;S2;;;;;POS;KEEPPOS;;;M2/1
 AA FK_OPEN MIDPRESS NEG -;434472;23816;2.;AA;;;;FK_OPEN;MIDPRESS;NEG;-;;;
 AD S1 S2 S3 NEG SHOTOFF;444787;39160;2.;AD;S1;S2;S3;;;NEG;SHOTOFF;;;M1
 AA GK_OPENSHORT POS ENTRY;485256;30023;2.;AA;;;;GK_OPENSHORT;;POS;ENTRY;;;
 DD GK_OPENSHORT NEG WINOPENSTAN;525096;23282;2.;DD;;;;GK_OPENSHORT;;NEG;WINOPENSTAN;;;
 DD THROWIN_OPEN NEG ENTRY;554025;19212;2.;DD;;;;THROWIN_OPEN;;NEG;ENTRY;;;
 DD THROWIN_OPEN POS -;584422;17410;2.;DD;;;;THROWIN_OPEN;;POS;-;;;
 DA S1 S2 NEG KEEPPOS;587096;26547;2.;DA;S1;S2;;;;NEG;KEEPPOS;;;M1
 AA THROWIN_OPEN POS KEEPPOS;609080;20747;2.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 S3 MIDPRESS POS WINSTANDARD;622827;32158;2.;AA;S2;S3;;;MIDPRESS;POS;WINSTANDARD;;;
 AA STAN_CORNER NEG -;684689;34293;2.;AA;;;;;;NEG;-;;STAN_CORNER;
 AA S2 S3 MIDPRESS NEG KEEPPOS;693030;25885;2.;AA;S2;S3;;;MIDPRESS;NEG;KEEPPOS;;;
 AA THROWIN_OPEN POS KEEPPOS;716921;23149;2.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 MIDPRESS NEG -;734138;30000;2.;AA;S2;;;;MIDPRESS;NEG;-;;;
 AD S2 S3 NEG SHOTOFF;746222;18806;2.;AD;S2;S3;;;;NEG;SHOTOFF;;;M2/2
 AA GK_OPENSHORT POS KEEPPOS;769573;20013;2.;AA;;;;GK_OPENSHORT;;POS;KEEPPOS;;;
 AA S1 S2 S3 HIGHPRESS NEG -;782586;38765;2.;AA;S1;S2;S3;;HIGHPRESS;NEG;-;;;
 DD GK_OPENSHORT POS WINOPENSTAN;823961;34694;2.;DD;;;;GK_OPENSHORT;;POS;WINOPENSTAN;;;
 AD S1 S2 S3 NEG SHOTGOAL;851460;45767;2.;AD;S1;S2;S3;;;NEG;SHOTGOAL;;;R3
 AA THROWIN_OPEN NEG -;854391;15875;2.;AA;;;;THROWIN_OPEN;;NEG;-;;;
 AA STAN_KICKOFF NEG KEEPPOS;1023360;33092;2.;AA;;;;;;NEG;KEEPPOS;;STAN_KICKOFF;
 DA S2 S3 NEG -;1041183;32286;2.;DA;S2;S3;;;;NEG;-;;;M2/1
 DD THROWIN_OPEN NEG -;1074912;25000;2.;DD;;;;THROWIN_OPEN;;NEG;-;;;
 AA THROWIN_OPEN POS KEEPPOS;1098268;27620;2.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 S3 MIDPRESS NEG KEEPPOS;1118889;35895;2.;AA;S2;S3;;;MIDPRESS;NEG;KEEPPOS;;;
 AA THROWIN_OPEN POS SHOTOFF;1153123;13406;2.;AA;;;;THROWIN_OPEN;;POS;SHOTOFF;;;
 DD GK_OPENSHORT NEG SHOTOFF;1170207;27220;2.;DD;;;;GK_OPENSHORT;;NEG;SHOTOFF;;;
 AA GK_OPENSHORT POS KEEPPOS;1197701;31824;2.;AA;;;;GK_OPENSHORT;;POS;KEEPPOS;;;
 AA S2 MIDPRESS NEG -;1222526;33192;2.;AA;S2;;;;MIDPRESS;NEG;-;;;
 AD POS KEEPPOS;1243719;18272;2.;AD;;;;;;POS;KEEPPOS;;;R2/2
 AA S1 S2 S3 HIGHPRESS POS ENTRY;1254992;34694;2.;AA;S1;S2;S3;;HIGHPRESS;POS;ENTRY;;;
 AA S2 S3 MIDPRESS NEG -;1282686;50176;2.;AA;S2;S3;;;MIDPRESS;NEG;-;;;
 DD FK_OPEN POS WINOPENSTAN;1379082;14540;2.;DD;;;;FK_OPEN;;POS;WINOPENSTAN;;;
 AA THROWIN_OPEN NEG -;1389559;25952;2.;AA;;;;THROWIN_OPEN;;NEG;-;;;
 DD GK_OPENSHORT NEG -;1423126;40900;2.;DD;;;;GK_OPENSHORT;;NEG;-;;;
 AA STAN_CORNER NEG -;1486790;14140;2.;AA;;;;;;NEG;-;;STAN_CORNER;
 DD GK_OPENSHORT POS -;1504708;19545;2.;DD;;;;GK_OPENSHORT;;POS;-;;;
 DA S3 POS SHOTON;1508850;31419;2.;DA;S3;;;;;POS;SHOTON;;;M3
 DA S2 S3 POS ENTRY;1528270;24412;2.;DA;S2;S3;;;;POS;ENTRY;;;M2/1
 DD S1 GK_SHORT HIGHPRESS POS -;1555091;20146;2.;DD;S1;;;GK_SHORT;HIGHPRESS;POS;-;;;
 DD THROWIN_OPEN POS KEEPPOS;1580517;15742;2.;DD;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 S3 GK_SHORT HIGHPRESS NEG -;1593330;48908;2.;AA;;S2;S3;GK_SHORT;HIGHPRESS;NEG;-;;;
 DD FK_OPEN NEG -;1656559;34293;2.;DD;;;;FK_OPEN;;NEG;-;;;
 DD S1 S2 S3 HIGHPRESS NEG ENTRY;1663066;56449;2.;DD;S1;S2;S3;;HIGHPRESS;NEG;ENTRY;;;
 DD S1 S2 MIDPRESS POS -;1714584;27220;2.;DD;S1;S2;;;MIDPRESS;POS;-;;;
 DA S1 NEG -;1727001;26014;2.;DA;S1;;;;;NEG;-;;;M1
 AD S2 POS -;1741015;27749;2.;AD;S2;;;;;POS;-;;;M2/1
 DD THROWIN_OPEN NEG ENTRY;1766369;17477;2.;DD;;;;THROWIN_OPEN;;NEG;ENTRY;;;
 AA S1 S2 S3 GK_SHORT HIGHPRESS NEG -;1778181;24150;2.;AA;S1;S2;S3;GK_SHORT;HIGHPRESS;NEG;-;;;
 AD S1 POS -;1790331;19941;2.;AD;S1;;;;;POS;-;;;M3
 DA S2 S3 POS ENTRY;1794135;40428;2.;DA;S2;S3;;;;POS;ENTRY;;;M2/2
 AD S1 S2 POS -;1816724;27815;2.;AD;S1;S2;;;;POS;-;;;M3
 DA S1 S2 S3 NEG -;1828203;39227;2.;DA;S1;S2;S3;;;NEG;-;;;M1
 AD S1 S2 NEG -;1855430;24479;2.;AD;S1;S2;;;;NEG;-;;;M3
 DA S3 POS SHOTBLOCK;1865740;32954;2.;DA;S3;;;;;POS;SHOTBLOCK;;;M3
 AA S2 LOWPRESS NEG -;1892228;27687;2.;AA;S2;;;;LOWPRESS;NEG;-;;;
 AD S2 NEG WINSTANDARD;1906147;19874;2.;AD;S2;;;;;NEG;WINSTANDARD;;;R2/2
 DD STAN_FK NEG WINOPENSTAN;2003906;35962;2.;DD;;;;;;NEG;WINOPENSTAN;;STAN_FK;
 DD THROWIN_OPEN POS -;2037073;44337;2.;DD;;;;THROWIN_OPEN;;POS;-;;;
 DA S1 NEG -;2068910;22410;2.;DA;S1;;;;;NEG;-;;;L1
 AD S2 S3 POS -;2079320;55376;2.;AD;S2;S3;;;;POS;-;;;M2/1
 DD S2 MIDPRESS POS -;2128164;30757;2.;DD;S2;;;;MIDPRESS;POS;-;;;
 DA S1 S2 S3 NEG -;2144018;23745;2.;DA;S1;S2;S3;;;NEG;-;;;M1
 AD S1 S2 S3 POS -;2155763;30485;2.;AD;S1;S2;S3;;;POS;-;;;M3
 DD S2 S3 LOWPRESS NEG WINSTANDARD;2180249;29222;2.;DD;S2;S3;;;LOWPRESS;NEG;WINSTANDARD;;;
 DD STAN_FK NEG SHOTBLOCK;2261897;21814;2.;DD;;;;;;NEG;SHOTBLOCK;;STAN_FK;
 DD S1 S2 HIGHPRESS POS KEEPPOS;2278314;53846;2.;DD;S1;S2;;;HIGHPRESS;POS;KEEPPOS;;;
 AA THROWIN_OPEN NEG WINOPENSTAN;2331567;15942;2.;AA;;;;THROWIN_OPEN;;NEG;WINOPENSTAN;;;
 DD THROWIN_OPEN POS WINOPENSTAN;2345781;25885;2.;DD;;;;THROWIN_OPEN;;POS;WINOPENSTAN;;;
 AA FK_OPEN POS KEEPPOS;2377113;45371;2.;AA;;;;FK_OPEN;;POS;KEEPPOS;;;
 AD S2 S3 NEG SHOTBLOCK;2408416;41162;2.;AD;S2;S3;;;;NEG;SHOTBLOCK;;;M2/2
 DA S1 S2 NEG -;2436243;37025;2.;DA;S1;S2;;;;NEG;-;;;M1
 DD S1 GK_SHORT HIGHPRESS POS -;2468037;23349;2.;DD;S1;;;GK_SHORT;HIGHPRESS;POS;-;;;
 DD THROWIN_OPEN POS KEEPPOS;2500536;18611;2.;DD;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 DA S2 S3 NEG -;2505579;30485;2.;DA;S2;S3;;;;NEG;-;;;M2/1
 AD S1 S2 POS -;2524064;18740;2.;AD;S1;S2;;;;POS;-;;;M1
 DA S2 NEG -;2530804;23344;2.;DA;S2;;;;;NEG;-;;;M2/1
 AD S2 POS KEEPPOS;2542149;19340;2.;AD;S2;;;;;POS;KEEPPOS;;;R2/2
 AA S1 S2 HIGHPRESS NEG -;2554490;37897;2.;AA;S1;S2;;;HIGHPRESS;NEG;-;;;
 AD S1 POS -;2575249;25880;2.;AD;S1;;;;;POS;-;;;M3
 AD S1 S2 S3 NEG SHOTOFF;2591699;56110;2.;AD;S1;S2;S3;;;NEG;SHOTOFF;;;R3
 AA GK_OPENSHORT NEG -;2649151;22148;2.;AA;;;;GK_OPENSHORT;;NEG;-;;;
 DD S1 S2 S3 HIGHPRESS POS -;2666268;34360;2.;DD;S1;S2;S3;;HIGHPRESS;POS;-;;;
 DD THROWIN_OPEN NEG -;2702371;19479;2.;DD;;;;THROWIN_OPEN;;NEG;-;;;
 DD S2 S3 MIDPRESS NEG SHOTON;2714850;28221;2.;DD;S2;S3;;;MIDPRESS;NEG;SHOTON;;;
 AA THROWIN_OPEN NEG -;2745013;18411;2.;AA;;;;THROWIN_OPEN;;NEG;-;;;
 AD S2 POS KEEPPOS;2749456;17138;2.;AD;S2;;;;;POS;KEEPPOS;;;M2/1
 AA THROWIN_OPEN NEG -;2766435;15074;2.;AA;;;;THROWIN_OPEN;;NEG;-;;;
 AD S2 POS -;2768342;19140;2.;AD;S2;;;;;POS;-;;;L2/2
 DD FK_OPEN NEG SHOTBLOCK SHOTOFF;2783152;33693;2.;DD;;;;FK_OPEN;;NEG;SHOTBLOCK;SHOTOFF;;
